,File path,Class No,Class Name,Probability
0,Dataset\test\1.jpg,0,white_leaf_disease,99.98372793
1,Dataset\test\10.jpg,0,white_leaf_disease,99.64678288
2,Dataset\test\100.jpg,0,white_leaf_disease,87.22506166
3,Dataset\test\101.jpg,0,white_leaf_disease,99.37858582
4,Dataset\test\102.jpg,0,white_leaf_disease,94.55922842
5,Dataset\test\103.jpg,0,white_leaf_disease,99.50752854
6,Dataset\test\104.jpg,0,white_leaf_disease,99.27869439
7,Dataset\test\105.jpg,0,white_leaf_disease,94.83218789
8,Dataset\test\106.jpg,0,white_leaf_disease,97.61883616
9,Dataset\test\107.jpg,0,white_leaf_disease,99.59751964
10,Dataset\test\108.jpg,0,white_leaf_disease,95.22710443
11,Dataset\test\109.jpg,0,white_leaf_disease,91.55191183
12,Dataset\test\11.jpg,0,white_leaf_disease,97.8920877
13,Dataset\test\110.jpg,0,white_leaf_disease,87.01717257
14,Dataset\test\111.jpg,0,white_leaf_disease,91.66122675
15,Dataset\test\112.jpg,0,white_leaf_disease,86.88373566
16,Dataset\test\113.jpg,0,white_leaf_disease,97.16956615
17,Dataset\test\114.jpg,0,white_leaf_disease,98.61990213
18,Dataset\test\115.jpg,0,white_leaf_disease,98.17998409
19,Dataset\test\116.jpg,0,white_leaf_disease,96.74009085
20,Dataset\test\117.jpg,0,white_leaf_disease,90.96111655
21,Dataset\test\118.jpg,0,white_leaf_disease,97.97226787
22,Dataset\test\119.jpg,0,white_leaf_disease,91.24032259
23,Dataset\test\12.jpg,0,white_leaf_disease,98.39106798
24,Dataset\test\120.jpg,0,white_leaf_disease,99.80735779
25,Dataset\test\121.jpg,0,white_leaf_disease,94.79869008
26,Dataset\test\122.jpg,0,white_leaf_disease,95.02190351
27,Dataset\test\123.jpg,0,white_leaf_disease,96.45120502
28,Dataset\test\124.jpg,0,white_leaf_disease,78.05078626
29,Dataset\test\125.jpg,0,white_leaf_disease,97.61882424
30,Dataset\test\126.jpg,0,white_leaf_disease,75.15600324
31,Dataset\test\127.jpg,0,white_leaf_disease,99.73062277
32,Dataset\test\128.jpg,0,white_leaf_disease,98.22262526
33,Dataset\test\129.jpg,0,white_leaf_disease,99.49005246
34,Dataset\test\13.jpg,0,white_leaf_disease,99.87222552
35,Dataset\test\130.jpg,0,white_leaf_disease,93.88723969
36,Dataset\test\131.jpg,0,white_leaf_disease,96.71699405
37,Dataset\test\132.jpg,1,narrow_brown_spot_disease,48.12842906
38,Dataset\test\133.jpg,0,white_leaf_disease,70.68971992
39,Dataset\test\134.jpg,0,white_leaf_disease,64.04020786
40,Dataset\test\135.jpg,0,white_leaf_disease,73.50739837
41,Dataset\test\136.jpg,0,white_leaf_disease,95.66165805
42,Dataset\test\137.jpg,0,white_leaf_disease,84.74226594
43,Dataset\test\138.jpg,1,narrow_brown_spot_disease,50.0043273
